serial_no,alumni_id,student_id,current_employer_id,current_title,years_experience,career_stage,skills_primary,skills_secondary,certifications,achievements,mentoring_interest,volunteering_interest,is_active_member,last_engagement_date,profile_visibility,preferred_contact_method,preferred_time_zone,portfolio_url,github_url,created_at
1,63658156-bd48-4a5f-829f-9560e7398536,2758bec7-dbb0-4bc7-ae51-7bcc277e4245,EMP000001,Associate Consultant,7.3,Senior,"Network Security, Splunk, IAM","DAX, Modeling, Dashboards",PMP,Hackathon Winner,1,0,1,11/14/2025,SLU-only,LinkedIn,America/Chicago,https://portfolio.example.com/angela-lawrence-1,https://github.com/alawrence1,2025-10-25 05:48:41
2,6a4e8eaa-5bf7-4551-b3ee-672836507775,6df422da-605e-4c36-a4cd-8a35296dc0cc,EMP000002,Product Analyst,2.0,Mid,"Python, SQL, Statistics","ML, DL, MLOps",None,Published Paper,0,1,1,04/15/2025,Public,Phone,America/Los_Angeles,https://portfolio.example.com/jennifer-cordova-2,https://github.com/jcordova2,2025-10-25 05:48:41
3,26b7cd79-6a0f-44fb-841c-145df78aad51,609aa29d-d888-47b1-8f96-8adebf1fde23,EMP000003,Data Engineer,8.9,Senior,"Java, Algorithms, Data Structures","ML, DL, MLOps",None,Capstone Award,0,0,0,06/14/2025,Public,LinkedIn,America/Los_Angeles,https://portfolio.example.com/john-williams-3,https://github.com/jwilliams3,2025-10-25 05:48:41
4,9a801d13-698b-4ae3-aa66-5fac9fafeb84,9349212b-778c-4359-8b78-b6c9d36554c3,EMP000004,QA Engineer,4.0,Mid,"Python, SQL, Statistics","Communication, Teamwork",None,Dean's List,0,0,0,02/13/2023,SLU-only,LinkedIn,America/New_York,https://portfolio.example.com/sarah-hunter-4,https://github.com/shunter4,2025-10-25 05:48:41
5,12ba3a45-cdb1-429b-a787-34b08054973f,ea3a3212-2016-4418-8d70-5b3438b49015,EMP000005,Data Engineer,11.3,Lead,"Network Security, Splunk, IAM","AWS, Azure, GCP",AWS CCP,Volunteer Lead,1,0,1,12/13/2023,Public,LinkedIn,America/Chicago,https://portfolio.example.com/john-wade-5,https://github.com/jwade5,2025-10-25 05:48:41
6,e75c9afe-5dbc-4a47-8477-b83ec04fa805,522fe46c-6cc7-447c-b079-00ac30e7588b,EMP000006,Software Engineer,7.3,Senior,"Python, SQL, Statistics","Spark, Hadoop, PySpark",None,Published Paper,0,1,1,07/16/2025,SLU-only,LinkedIn,America/Los_Angeles,https://portfolio.example.com/laura-aguilar-6,https://github.com/laguilar6,2025-10-25 05:48:41
7,39838109-c06e-44db-8658-53272674abbc,e6d730fc-5171-43c5-994f-c5245030219a,EMP000007,Data Analyst,10.0,Lead,"Git, CI/CD, Microservices","AWS, Azure, GCP",None,Volunteer Lead,0,1,1,10/14/2022,Private,LinkedIn,America/New_York,https://portfolio.example.com/teresa-clark-7,https://github.com/tclark7,2025-10-25 05:48:41
8,e9a914f7-c68f-44bd-b134-7c0f76e4d0ca,3752884b-04f7-4122-8e54-39f41f8598e8,EMP000008,Software Engineer,10.4,Lead,"Git, CI/CD, Microservices","ML, DL, MLOps",Azure Fundamentals,Published Paper,0,0,1,11/13/2025,Public,Email,America/New_York,https://portfolio.example.com/samantha-reed-8,https://github.com/sreed8,2025-10-25 05:48:41
9,48be0203-6cc1-4575-aed0-4d29b09c1b8e,8389a39d-3d33-472d-b4fb-30d6a7b46511,EMP000009,Security Analyst,3.5,Mid,"Power BI, Excel, Storytelling","AWS, Azure, GCP",AWS CCP,Volunteer Lead,1,0,0,08/15/2023,Private,Phone,America/New_York,https://portfolio.example.com/angela-sandoval-9,https://github.com/asandoval9,2025-10-25 05:48:41
10,e7c5e1b7-67c8-4826-826a-447643140d7a,9ce1771a-eee4-4a51-bdad-b85e0799e429,EMP000010,Software Engineer,2.4,Mid,"Power BI, Excel, Storytelling","DAX, Modeling, Dashboards",Security+,Volunteer Lead,0,0,1,12/31/2026,Public,Email,America/New_York,https://portfolio.example.com/robert-good-10,https://github.com/rgood10,2025-10-25 05:48:41
