serial_no,student_id,slu_banner_id,first_name,last_name,preferred_name,slu_email,personal_email,phone_e164,program_name,college_name,concentration,start_term,grad_term,graduation_year,visa_status,opt_status,current_location_city,current_location_state,current_location_country,linkedin_url
1,2758bec7-dbb0-4bc7-ae51-7bcc277e4245,B0100001,Angela,Lawrence,Angela,alawrence.1@slu.edu,angela.lawrence1@example.com,17084435667,MS Cybersecurity,School of Science & Engineering,Network Security,Fall-2022,Summer-2024,2024,F1,None,Bengaluru,MA,India,https://www.linkedin.com/in/slu-student-1
2,6df422da-605e-4c36-a4cd-8a35296dc0cc,B0100002,Jennifer,Cordova,Jennifer,jcordova.2@slu.edu,jennifer.cordova2@example.com,18387697750,MS Data Science,School of Science & Engineering,Big Data,Fall-2021,Fall-2023,2023,F1,STEM OPT,Boston,MA,USA,https://www.linkedin.com/in/slu-student-2
3,609aa29d-d888-47b1-8f96-8adebf1fde23,B0100003,John,Williams,John,jwilliams.3@slu.edu,john.williams3@example.com,12748976595,MS Software Engineering,School of Science & Engineering,Cloud Computing,Summer-2021,Summer-2023,2023,Citizen,None,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-3
4,9349212b-778c-4359-8b78-b6c9d36554c3,B0100004,Sarah,Hunter,John,shunter.4@slu.edu,sarah.hunter4@example.com,15509221879,MS Information Technology,School of Science & Engineering,Networking,Fall-2020,Summer-2021,2021,F1,OPT,Austin,TX,USA,https://www.linkedin.com/in/slu-student-4
5,ea3a3212-2016-4418-8d70-5b3438b49015,B0100005,John,Wade,John,jwade.5@slu.edu,john.wade5@example.com,14719018764,MS Data Science,School of Science & Engineering,Big Data,Spring-2020,Spring-2022,2022,Citizen,None,Hyderabad,TX,India,https://www.linkedin.com/in/slu-student-5
6,522fe46c-6cc7-447c-b079-00ac30e7588b,B0100006,Laura,Aguilar,Laura,laguilar.6@slu.edu,laura.aguilar6@example.com,18185111727,MS Information Systems,School of Science & Engineering,Data Analytics,Summer-2023,Fall-2024,2024,Citizen,None,Hyderabad,TX,India,https://www.linkedin.com/in/slu-student-6
7,e6d730fc-5171-43c5-994f-c5245030219a,B0100007,Teresa,Clark,Teresa,tclark.7@slu.edu,teresa.clark7@example.com,16265065352,MS Software Engineering,School of Science & Engineering,Cloud Computing,Fall-2021,Spring-2022,2022,F1,STEM OPT,Hyderabad,TX,India,https://www.linkedin.com/in/slu-student-7
8,3752884b-04f7-4122-8e54-39f41f8598e8,B0100008,Samantha,Reed,Teresa,sreed.8@slu.edu,samantha.reed8@example.com,19186677512,MS Information Systems,School of Science & Engineering,Data Analytics,Fall-2024,Spring-2025,2025,PR,None,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-8
9,8389a39d-3d33-472d-b4fb-30d6a7b46511,B0100009,Angela,Sandoval,Angela,asandoval.9@slu.edu,angela.sandoval9@example.com,17118589939,MS Computer Science,School of Science & Engineering,AI & ML,Spring-2021,Summer-2022,2022,F1,None,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-9
10,9ce1771a-eee4-4a51-bdad-b85e0799e429,B0100010,Robert,Good,Robert,rgood.10@slu.edu,robert.good10@example.com,19776927363,MBA,Chaifetz School of Business,Business Analytics,Spring-2024,Spring-2026,2026,Other,None,Hyderabad,MO,India,https://www.linkedin.com/in/slu-student-10
